,wheel,station,name,x std,x std unc,y std,y std unc,z std,z std unc,phix std,phix std unc,phiy std,phiy std unc,phiz std,phiz std unc,nMuons_mean,nMuons_std,hesse_unc_x,hesse_unc_y,hesse_unc_z,hesse_unc_phix,hesse_unc_phiy,hesse_unc_phiz,njobs
0,-2,1,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,3.6762958960278915,0.36270125447811724,2.3593023787309915,1.922531144091039,0.005799267195085945,0.002987946499807901,0.0025587089378378753,0
1,-2,2,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,2.28963408483195,0.398735084987514,2.8798083269551116,2.6772187433977077,0.008784418022840216,0.0045882772366107084,0.004389158005813872,0
2,-2,3,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.860387767736777,0.8495420972500421,6.061066119091591,7.096863743936472,0.018997865998579947,0.004513273202455176,0.005089805128882637,0
3,-2,4,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,3.6674990730127597,1.1851847573652428,7.540333546999098,0.02483033244020122,0.012814721293035672,0.16046080427659246,0.4324658496828496,0
4,-1,1,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.1320071635561044,0.16344517012247145,0.7561190382472855,1.2333429074157467,0.007478556618152268,0.0014847807612879786,0.0024276921326455486,0
5,-1,2,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,3.519426606190792,0.22531775895388273,0.8845361072336165,1.589742707169937,0.010181441450010896,0.0013933602369810903,0.0026079493860119295,0
6,-1,3,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333,2.757908737804898,0.2583417725196052,0.7876878460768217,1.7936487154082636,0.013588868869146434,0.0018604465669756357,0.004207825363024741,0
7,-1,4,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.169486225497739,0.9823913449056108,4.911591576890511,0.030113331387821032,0.005425400948735997,0.20532207331631222,0.18673357331673476,0
8,0,1,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,5.658862719021135,0.18532749661072961,0.22598331796838456,1.1282209889910753,0.02569174575617624,0.0007301154018372712,0.0032536822217297126,0
9,0,2,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.833333333333334,3.010084062049773,0.2590001351350999,0.32344129297292884,1.8330245224764452,0.03492920125052962,0.0008305100240213841,0.0031790596093813654,0
10,0,3,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,3.4597249846912645,0.3375231769819667,0.47575164214114907,2.688976083010037,0.04752425433397141,0.000925199100194115,0.004482929566700775,0
11,0,4,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.142857142857142,3.460927907082431,1.0045927426432208,6.04852127737492,0.17028800184225715,0.02226301524951191,0.21494791083290055,0.20070217255942058,0
12,1,1,SM_10_6_01_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.416666666666667,1.7298624923456323,0.22175016723030147,1.0155687240818976,1.5755187241032713,0.00856239695801746,0.0016878693669831206,0.0026044602927798046,0
