,wheel,station,sector,type,x,y,z,phix,phiy,phiz,xx,xy,xz,xa,xb,xc,yy,yz,ya,yb,yc,zz,za,zb,zc,aa,ab,ac,bb,bc,cc,xml_name,wheel,station,sector,status,nMuons,covMatrix,error,name,x_unc,y_unc,z_unc,phix_unc,phiy_unc,phiz_unc
10,-2,1,11,DTChamber,0.1805170923,0.9616088867,-0.7453186001,0.0011577248,-0.0009340566,0.0003820425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,11,PASS,36,"[[ 1.37304e-02 -9.09458e-02  7.38891e-02  9.08602e-05 -6.77399e-06
  -2.18015e-06]
 [-9.09458e-02  1.35944e+00 -1.08121e+00 -1.33016e-03  5.44229e-05
   6.22720e-05]
 [ 7.38891e-02 -1.08121e+00  8.78624e-01  1.11625e-03 -4.96306e-05
  -4.93497e-05]
 [ 9.08602e-05 -1.33016e-03  1.11625e-03  6.75194e-06 -3.92517e-07
  -2.65310e-07]
 [-6.77399e-06  5.44229e-05 -4.96306e-05 -3.92517e-07  2.44750e-06
  -1.85370e-06]
 [-2.18015e-06  6.22720e-05 -4.93497e-05 -2.65310e-07 -1.85370e-06
   1.57489e-06]]",[0.117177   1.16595    0.93735    0.00259845 0.00156445 0.00125495],design_10_6_25M_01_1,0.117177,1.16595,0.93735,0.00259845,0.00156445,0.00125495
11,-2,1,12,DTChamber,0.1094036876,-1.0153198242,1.1328338824,0.0011909276,0.0023877656,-0.0027645676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,12,PASS,19,"[[ 3.02577e-02 -1.97628e-01  1.62195e-01  2.38750e-04 -6.65974e-05
   3.89252e-05]
 [-1.97628e-01  3.16141e+00 -2.53594e+00 -4.14808e-03 -2.99032e-04
   5.79767e-04]
 [ 1.62195e-01 -2.53594e+00  2.06470e+00  3.18561e-03  1.66084e-04
  -3.94234e-04]
 [ 2.38750e-04 -4.14808e-03  3.18561e-03  1.61546e-05  1.28666e-06
  -2.31179e-06]
 [-6.65974e-05 -2.99032e-04  1.66084e-04  1.28666e-06  4.58464e-06
  -3.66821e-06]
 [ 3.89252e-05  5.79767e-04 -3.94234e-04 -2.31179e-06 -3.66821e-06
   3.39166e-06]]",[0.173947   1.77803    1.43691    0.00401928 0.00214118 0.00184165],design_10_6_25M_01_1,0.173947,1.77803,1.43691,0.00401928,0.00214118,0.00184165
12,-2,2,1,DTChamber,-0.2013874054,0.4630737305,-0.5104370117,0.000265851,0.0003671162,0.0002271661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,1,PASS,30,"[[ 2.50419e-02  1.06240e-01 -1.03660e-01 -6.56199e-05 -4.81441e-05
   4.65504e-05]
 [ 1.06240e-01  1.42871e+00 -1.34278e+00 -7.56313e-04  3.90752e-05
  -1.07320e-04]
 [-1.03660e-01 -1.34278e+00  1.32525e+00  5.94237e-04 -1.24563e-04
   1.82627e-04]
 [-6.56199e-05 -7.56313e-04  5.94237e-04  1.22328e-05  2.16127e-07
   7.44827e-07]
 [-4.81441e-05  3.90752e-05 -1.24563e-04  2.16127e-07  2.57033e-06
  -2.44194e-06]
 [ 4.65504e-05 -1.07320e-04  1.82627e-04  7.44827e-07 -2.44194e-06
   2.58536e-06]]",[0.158246   1.19529    1.15119    0.00349754 0.00160322 0.00160791],design_10_6_25M_01_1,0.158246,1.19529,1.15119,0.00349754,0.00160322,0.00160791
13,-2,2,2,DTChamber,-0.1704161024,-0.7915649414,0.8728298937,0.0030577744,-0.0014541017,0.0021574186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,2,PASS,28,"[[ 1.92731e-02  3.93676e-02 -3.81337e-02 -2.95941e-05 -2.55551e-05
   2.35332e-05]
 [ 3.93676e-02  1.03808e+00 -9.59131e-01 -4.84501e-04  9.84529e-05
  -1.19452e-04]
 [-3.81337e-02 -9.59131e-01  9.32716e-01  4.51787e-04 -1.03558e-04
   1.23205e-04]
 [-2.95941e-05 -4.84501e-04  4.51787e-04  7.42155e-06 -8.72118e-08
   3.69966e-07]
 [-2.55551e-05  9.84529e-05 -1.03558e-04 -8.72118e-08  2.03770e-06
  -1.91223e-06]
 [ 2.35332e-05 -1.19452e-04  1.23205e-04  3.69966e-07 -1.91223e-06
   1.96901e-06]]",[0.138828   1.01886    0.965772   0.00272425 0.00142748 0.00140321],design_10_6_25M_01_1,0.138828,1.01886,0.965772,0.00272425,0.00142748,0.00140321
14,-2,2,3,DTChamber,0.2620811262,0.9859008789,-0.9146922003,-0.001407291,-0.0002708162,-0.0007161176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,3,PASS,29,"[[ 3.02330e-02  2.98031e-02 -2.94453e-02 -3.56578e-05 -2.89880e-05
   2.83661e-05]
 [ 2.98031e-02  2.55822e+00 -2.43867e+00 -2.91998e-03  1.74872e-04
  -1.70118e-04]
 [-2.94453e-02 -2.43867e+00  2.36358e+00  2.82873e-03 -5.62530e-05
   5.68333e-05]
 [-3.56578e-05 -2.91998e-03  2.82873e-03  1.29681e-05 -5.17254e-07
   6.00488e-07]
 [-2.89880e-05  1.74872e-04 -5.62530e-05 -5.17254e-07  3.82883e-06
  -3.54202e-06]
 [ 2.83661e-05 -1.70118e-04  5.68333e-05  6.00488e-07 -3.54202e-06
   3.55911e-06]]",[0.173876   1.59944    1.53739    0.00360113 0.00195674 0.00188656],design_10_6_25M_01_1,0.173876,1.59944,1.53739,0.00360113,0.00195674,0.00188656
15,-2,2,4,DTChamber,-0.5875511169,0.4474487305,-0.5051269531,-0.001957357,0.0009752227,0.0010214801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,4,PASS,33,"[[ 1.72724e-02  3.96660e-02 -3.85527e-02 -2.32352e-05  1.03661e-05
  -1.07010e-05]
 [ 3.96660e-02  1.28998e+00 -1.20470e+00 -1.17291e-03  1.44749e-04
  -1.76552e-04]
 [-3.85527e-02 -1.20470e+00  1.16912e+00  1.04064e-03 -1.41925e-04
   1.68459e-04]
 [-2.32352e-05 -1.17291e-03  1.04064e-03  1.65087e-05  1.37150e-07
   5.47861e-07]
 [ 1.03661e-05  1.44749e-04 -1.41925e-04  1.37150e-07  2.78295e-07
   5.25568e-10]
 [-1.07010e-05 -1.76552e-04  1.68459e-04  5.47861e-07  5.25568e-10
   1.66491e-07]]",[1.31425e-01 1.13577e+00 1.08126e+00 4.06309e-03 5.27537e-04 4.08033e-04],design_10_6_25M_01_1,0.131425,1.13577,1.08126,0.00406309,0.000527537,0.000408033
16,-2,2,5,DTChamber,-0.0270358256,-0.8903198242,1.0372484758,-7.57032e-05,0.0005014296,-0.0006212428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,5,PASS,34,"[[ 1.60272e-02  4.22605e-02 -4.11538e-02 -1.82562e-05 -6.23218e-05
   6.14825e-05]
 [ 4.22605e-02  9.76404e-01 -8.81957e-01 -6.19369e-04 -1.49831e-04
   1.29490e-04]
 [-4.11538e-02 -8.81957e-01  8.62765e-01  5.02571e-04  1.29199e-04
  -1.15064e-04]
 [-1.82562e-05 -6.19369e-04  5.02571e-04  1.13177e-05  6.17972e-07
  -3.93962e-08]
 [-6.23218e-05 -1.49831e-04  1.29199e-04  6.17972e-07  2.98344e-06
  -2.76984e-06]
 [ 6.14825e-05  1.29490e-04 -1.15064e-04 -3.93962e-08 -2.76984e-06
   2.83086e-06]]",[0.126598   0.988132   0.928851   0.00336418 0.00172726 0.00168252],design_10_6_25M_01_1,0.126598,0.988132,0.928851,0.00336418,0.00172726,0.00168252
17,-2,2,6,DTChamber,0.0304758391,-0.6880493164,0.1979467144,0.0016701367,-0.0005022915,0.0003255116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,6,PASS,25,"[[ 1.46316e-02 -1.57225e-02  1.33259e-02  4.41101e-06 -3.48986e-05
   3.37558e-05]
 [-1.57225e-02  9.57346e-01 -8.63987e-01 -4.78754e-04  1.89526e-04
  -1.80944e-04]
 [ 1.33259e-02 -8.63987e-01  8.37829e-01  4.25913e-04 -4.95115e-05
   4.57930e-05]
 [ 4.41101e-06 -4.78754e-04  4.25913e-04  1.01493e-05 -2.54313e-07
   8.37536e-08]
 [-3.48986e-05  1.89526e-04 -4.95115e-05 -2.54313e-07  2.42256e-06
  -2.23338e-06]
 [ 3.37558e-05 -1.80944e-04  4.57930e-05  8.37536e-08 -2.23338e-06
   2.28423e-06]]",[0.120961   0.978441   0.91533    0.0031858  0.00155646 0.00151137],design_10_6_25M_01_1,0.120961,0.978441,0.91533,0.0031858,0.00155646,0.00151137
18,-2,2,7,DTChamber,0.1290683746,-0.7752685547,0.2336425781,0.0020059172,-0.0005398825,-0.0001050846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,7,PASS,28,"[[ 1.83340e-02  2.88660e-02 -2.76888e-02 -2.26458e-05 -2.81863e-06
   1.19573e-06]
 [ 2.88660e-02  1.33471e+00 -1.22769e+00 -9.01912e-04  3.91361e-05
  -5.83395e-05]
 [-2.76888e-02 -1.22769e+00  1.17342e+00  9.42440e-04 -3.13612e-07
   2.29775e-05]
 [-2.26458e-05 -9.01912e-04  9.42440e-04  8.01077e-06 -3.26055e-08
   2.07068e-07]
 [-2.81863e-06  3.91361e-05 -3.13612e-07 -3.26055e-08  2.31636e-06
  -2.11388e-06]
 [ 1.19573e-06 -5.83395e-05  2.29775e-05  2.07068e-07 -2.11388e-06
   2.09211e-06]]",[0.135403   1.15529    1.08324    0.00283033 0.00152196 0.00144641],design_10_6_25M_01_1,0.135403,1.15529,1.08324,0.00283033,0.00152196,0.00144641
19,-2,2,8,DTChamber,-0.2156919813,-0.2188110352,0.4073553395,-0.0008716371,-0.0014158742,0.0016050724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,2,8,PASS,32,"[[ 1.41510e-02 -4.81991e-03  4.06975e-03 -1.60783e-05 -3.58731e-05
   3.47060e-05]
 [-4.81991e-03  1.31556e-01 -9.94249e-02 -9.62973e-05  4.57246e-04
  -4.52312e-04]
 [ 4.06975e-03 -9.94249e-02  1.15476e-01  1.20030e-05 -4.27279e-04
   4.20985e-04]
 [-1.60783e-05 -9.62973e-05  1.20030e-05  8.23139e-06 -2.91771e-07
   4.48351e-07]
 [-3.58731e-05  4.57246e-04 -4.27279e-04 -2.91771e-07  2.54105e-06
  -2.40080e-06]
 [ 3.47060e-05 -4.52312e-04  4.20985e-04  4.48351e-07 -2.40080e-06
   2.46155e-06]]",[0.118958   0.362707   0.339818   0.00286904 0.00159407 0.00156893],design_10_6_25M_01_1,0.118958,0.362707,0.339818,0.00286904,0.00159407,0.00156893
