,wheel,station,nMuons_mean,nMuons_std,hesse_unc_x,hesse_unc_y,hesse_unc_z,hesse_unc_phix,hesse_unc_phiy,hesse_unc_phiz,returns:
0,-2,1,6.333333333333333,3.6762958960278915,0.36270125447811724,2.3593023787309915,1.922531144091039,0.005799267195085945,0.002987946499807901,0.0025587089378378753,0
0,-2,1,6.333333333333333,3.6762958960278915,0.36270125447811724,2.3593023787309915,1.922531144091039,0.005799267195085945,0.002987946499807901,0.0025587089378378753,1
0,-2,1,11.5,3.4771984543464143,0.2379848909769974,2.1020603583151463,1.7180764195265976,0.004486285025868657,0.002626573972560707,0.002247329711754226,2
0,-2,1,27.75,8.069302098920101,0.12578241795523995,0.9832381027333443,0.7945173220263986,0.0027308682990336,0.0016079368250442345,0.0013261221348980893,4
0,-2,1,62.333333333333336,4.7354242074224375,0.08159543492132387,0.7088975595951788,0.5735602264220675,0.0017050281033852003,0.0010130867846997774,0.0008450944227323555,8
0,-2,1,137.58333333333334,12.759725939870577,0.05753700982845737,0.5038833363653403,0.4074329188140464,0.0011889098648201497,0.0007005088031804692,0.0005824462779232662,16
0,-2,1,304.5833333333333,21.36036403049235,0.03745817667746256,0.3297850436269055,0.26631413155645095,0.0007797976767512626,0.00046728667146980914,0.0003876449191377766,31
0,-2,1,620.5,28.433335109595312,0.026289124811095053,0.22235338989995185,0.17935595427343173,0.0005429085251372157,0.0003276109608463469,0.00027115722683835415,62
0,-2,1,1289.5,24.11902304670056,0.018556928176110758,0.1605494991168352,0.12965955421795958,0.0003779422354452243,0.00022693462715064005,0.00018847327396742487,125
0,-2,1,2636.4166666666665,69.09737310272344,0.01306593535368466,0.11328481804725644,0.09148596431511595,0.00026679778547306825,0.00015963416509841077,0.00013257435020898022,250
0,-2,1,5331.583333333333,93.21866603298771,0.009126032361692932,0.07954691487837015,0.06424750967936423,0.0001872477859237148,0.00011214057398343087,9.311834316252267e-05,500
1,-2,2,4.833333333333333,2.28963408483195,0.398735084987514,2.8798083269551116,2.6772187433977077,0.008784418022840216,0.0045882772366107084,0.004389158005813872,0
1,-2,2,4.833333333333333,2.28963408483195,0.398735084987514,2.8798083269551116,2.6772187433977077,0.008784418022840216,0.0045882772366107084,0.004389158005813872,1
1,-2,2,13.333333333333334,4.030189107526376,0.19009238981786375,1.6331767101776422,1.545455569295561,0.005588829632997116,0.0020199313107133123,0.0019105586006889887,2
1,-2,2,29.666666666666668,7.559862111937965,0.1429604257594854,1.230742628117945,1.1730772211012652,0.003372045991184976,0.0016352749513970628,0.0015910470870886674,4
1,-2,2,70.16666666666667,8.663752423783016,0.09092144961448866,0.7471441181815817,0.7091445550802741,0.0020133034628026973,0.000991393421738649,0.0009521806551280067,8
1,-2,2,147.08333333333334,13.255930633859585,0.06272266336819571,0.5058904295068911,0.4816007777886854,0.001398040593115951,0.0006764632904550943,0.0006508740277503781,16
1,-2,2,298.9166666666667,19.532994619051088,0.04195018871630178,0.32280260609233,0.3062947232650279,0.00097532994417274,0.0004779246802583018,0.0004608681120089203,31
1,-2,2,636.75,27.17326560493537,0.030292104306788154,0.24420713544038797,0.23227505247012645,0.0006823239699732085,0.00032719595301083216,0.00031614131861136617,62
1,-2,2,1335.1666666666667,41.474709343785825,0.020622364478077353,0.1551026592830267,0.147314701970532,0.00046495895876231196,0.00022860480820256895,0.00022045052354969206,125
1,-2,2,2749.4166666666665,52.396145474701285,0.01459140157764154,0.11845414021186991,0.11259174037201841,0.00032909383160430097,0.000158933896111979,0.00015331750824133992,250
1,-2,2,5542.083333333333,68.14217534395318,0.010213482918834952,0.07980190787192999,0.07581256931846239,0.00023037577997697586,0.00011184717996742996,0.00010788381095728248,500
2,-2,3,5.0,2.860387767736777,0.8495420972500421,6.061066119091591,7.096863743936472,0.018997865998579947,0.004513273202455176,0.005089805128882637,0
2,-2,3,5.0,2.860387767736777,0.8495420972500421,6.061066119091591,7.096863743936472,0.018997865998579947,0.004513273202455176,0.005089805128882637,1
2,-2,3,12.25,3.6711405213193253,0.2635512600361961,1.7946716273457937,2.0374824989023423,0.006831629259066488,0.002675310106635615,0.0030318702973577217,2
2,-2,3,23.083333333333332,5.63202423376329,0.2139097551149394,1.4942461867666474,1.7209309496122536,0.0053046889635491356,0.0017460951673185896,0.0020124243256993955,4
2,-2,3,58.75,6.903556395734803,0.13810210594580616,0.9589352602409265,1.0964386667753012,0.0032429684190054438,0.001141129082677912,0.001310310363997782,8
2,-2,3,126.5,8.597039659620682,0.09286427371887067,0.6235655538914894,0.7158358750439935,0.0020708959413741675,0.0007457598474039749,0.0008655085210441316,16
2,-2,3,266.25,20.587396850765497,0.06385114851485968,0.4131244263737823,0.47351254823218075,0.0014206424602974529,0.0004899867345143132,0.0005668743981988721,31
2,-2,3,555.5,19.07640141402699,0.04363974679119941,0.29995009307105297,0.3436159435571444,0.0010211948475519579,0.0003640948823223603,0.0004217286845038328,62
2,-2,3,1170.5,23.71229063740421,0.030003167888296954,0.2047998209634634,0.2346085924826,0.0006980116999974523,0.00025111393496445657,0.000290800762264017,125
2,-2,3,2430.0,62.65199699349357,0.021050051464703515,0.1454224592924582,0.16663518035917066,0.0004848094127249044,0.00017470711204756377,0.0002024621981177392,250
2,-2,3,4899.083333333333,98.34490173348946,0.014684748323799538,0.10085102875033056,0.11551002842466392,0.0003411729766555376,0.00012288639740291302,0.00014230056219144042,500
3,-2,4,6.285714285714286,3.6674990730127597,1.1851847573652428,7.540333546999098,0.02483033244020122,0.012814721293035672,0.16046080427659246,0.4324658496828496,0
